Bin Start (GeV),Bin End (Gev),m_lljj,m_lljj(j)
0.0,50.0,0.0,0.0
50.0,100.0,0.0,0.0
100.0,150.0,0.0,0.0
150.0,200.0,0.0,0.0
200.0,250.0,0.0,0.0
250.0,300.0,0.0,0.0
300.0,350.0,0.0,0.0
350.0,400.0,0.0,0.0
400.0,450.0,0.0,0.0
450.0,500.0,0.0,0.0
500.0,550.0,0.0,0.0
550.0,600.0,0.0,0.0
600.0,650.0,0.0,0.0
650.0,700.0,0.0,0.0
700.0,750.0,0.0,0.0
750.0,800.0,0.0,0.0
800.0,850.0,0.059181075231118006,0.02929315242593042
850.0,900.0,0.08906601052952591,0.0
900.0,950.0,0.029887922805187594,0.0
950.0,1000.0,0.08966376841556277,0.08936488947254435
1000.0,1050.0,0.1488418561399011,0.11895393333471352
1050.0,1100.0,0.4471263138125198,0.2677987769813943
1100.0,1150.0,0.05977584561037519,0.11925281227773193
1150.0,1200.0,0.38794523858140184,0.2985803491088575
1200.0,1250.0,0.5361923243420458,0.29828445767261874
1250.0,1300.0,0.6572354227711086,0.44742220524875864
1300.0,1350.0,0.746600312243653,0.41843091927262627
1350.0,1400.0,0.89424964011826,0.4776090069969646
1400.0,1450.0,1.7287234346261449,0.7749968278405281
1450.0,1500.0,1.8183901905484874,1.2236145488613606
1500.0,1550.0,1.998605401688329,0.8347696859441236
1550.0,1600.0,2.295993222531892,1.1928299892271177
1600.0,1650.0,2.5948724505837686,1.4002581502188796
1650.0,1700.0,4.206728129462769,2.0879702911608735
1700.0,1750.0,4.774003892382076,2.266700070105962
1750.0,1800.0,5.517621390209104,2.1172664310935834
1800.0,1850.0,6.145868514510861,3.2518089944118582
1850.0,1900.0,7.847671903214545,3.907550022467875
1900.0,1950.0,9.669944532515492,4.653265647909592
1950.0,2000.0,10.683452959925042,5.698733238178002
2000.0,2050.0,13.813925925256495,7.278617804171025
2050.0,2100.0,16.73637598593881,10.769826072460624
2100.0,2150.0,19.037731131126243,14.497157896281877
2150.0,2200.0,22.47394561689376,20.94847201307068
2200.0,2250.0,23.72714622211051,26.172889860916595
2250.0,2300.0,27.838552769065938,32.85374920898387
2300.0,2350.0,35.01329976905848,39.400255059688206
2350.0,2400.0,34.060596660186945,41.132097105614456
2400.0,2450.0,29.226213189294892,34.597682633851264
2450.0,2500.0,19.111252420608686,23.58756961320418
2500.0,2550.0,9.252724066548838,13.223627519422969
2550.0,2600.0,4.957216855472442,7.820479865910082
2600.0,2650.0,3.6125532331684593,5.852058278463179
2650.0,2700.0,2.1764475063247013,4.116475565681509
2700.0,2750.0,1.342568482196074,2.6570393277382913
2750.0,2800.0,1.5230885472924935,2.2400998156739775
2800.0,2850.0,1.0747697052146796,2.2395050452947203
2850.0,2900.0,0.774703923911069,1.6106691256272663
2900.0,2950.0,0.4489136124570711,1.2848788141732683
2950.0,3000.0,0.38854299646743873,0.896039926269591
3000.0,3050.0,0.6267497420798842,0.9256289701317602
3050.0,3100.0,0.2985803491088575,0.7158157526094101
3100.0,3150.0,0.3278705140280082,0.5071980508591338
3150.0,3200.0,0.20921545963631313,0.38794523858140184
3200.0,3250.0,0.1488418561399011,0.20861770175027627
3250.0,3300.0,0.17872977894508868,0.3278705140280082
3300.0,3350.0,0.11955169122075038,0.17932753683112557
3350.0,3400.0,0.05917808772433833,0.17843090000207026
3400.0,3450.0,0.08966376841556277,0.14943961402593797
3450.0,3500.0,0.14914073508291953,0.20891658069329472
3500.0,3550.0,0.08936488947254434,0.05947696666735676
3550.0,3600.0,0.14914073508291953,0.14914073508291953
3600.0,3650.0,0.11955169122075038,0.17932753683112557
3650.0,3700.0,0.08996264735858121,0.0899626473585812
3700.0,3750.0,0.11955169122075038,0.08966376841556277
3750.0,3800.0,0.05977584561037519,0.14943961402593797
3800.0,3850.0,0.08966376841556277,0.08966376841556277
3850.0,3900.0,0.0,0.0
3900.0,3950.0,0.11925281227773193,0.11925281227773193
3950.0,4000.0,0.0,0.0
4000.0,4050.0,0.029887922805187594,0.029887922805187594
4050.0,4100.0,0.029887922805187594,0.029887922805187594
4100.0,4150.0,0.05977584561037519,0.05977584561037519
4150.0,4200.0,0.05977584561037519,0.05977584561037519
4200.0,4250.0,0.0,0.0
4250.0,4300.0,0.029887922805187594,0.029887922805187594
4300.0,4350.0,0.029887922805187594,0.029887922805187594
